詞目id,詞目類型,漢字,羅馬字,分類,羅馬字音檔檔名,又唸作,合音唸作,俗唸作,語音差異,詞彙比較,名,姓,異用字,詞目tuì詞目近義,詞目tuì詞目反義,解說,詞性,例句,例句-華語,例句-音檔,義項tuì義項近義,義項tuì義項反義,義項tuì詞目近義,義項tuì詞目反義
25479,臺華共同詞,心境,sim-kíng,心理狀態,25479(1),,,,,,,,,,,,,,,,,,,
25480,臺華共同詞,戶政,hōo-tsìng,軍公教業,25480(1),,,,,,,,,,,,,,,,,,,
25481,臺華共同詞,戶數,hōo-sòo,數詞、量詞,25481(1),,,,,,,,,,,,,,,,,,,
25482,臺華共同詞,手排,tshiú-pâi,性質、程度,25482(1),,,,,,,,,,,,,,,,,,,
25483,臺華共同詞,手語,tshiú-gí/tshiú-gú,語言、文字、符號,25483(1),,,,,,,,,,,,,,,,,,,
25484,臺華共同詞,手銬,tshiú-khàu,法律,25484(1),,,,,,,,,,,,,,,,,,,
25485,臺華共同詞,支流,tsi-liû,性質、程度,25485(1),,,,,,,,,,,,,,,,,,,
25486,臺華共同詞,文人,bûn-jîn/bûn-lîn,稱謂輩分,25486(1),,,,,,,,,,,,,,,,,,,
25487,臺華共同詞,文教,bûn-kàu,教育、學術,25487(1),,,,,,,,,,,,,,,,,,,
25488,臺華共同詞,方位,hong-uī,空間方位,25488(1),,,,,,,,,,,,,,,,,,,
25489,臺華共同詞,日夜,ji̍t-iā/li̍t-iā,時間節令,25489(1),,,,,,,,,,,,,,,,,,,
25490,臺華共同詞,日語,Ji̍t-gí/Li̍t-gú,語言、文字、符號,25490(1),,,,,,,,,,,,,,,,,,,
25491,臺華共同詞,月租費,gue̍h-tsoo-huì/ge̍h-tsoo-huì,"生活用品,錢財資產",25491(1),,,,,,,,,,,,,,,,,,,
25492,臺華共同詞,水利,tsuí-lī,相關用語,25492(1),,,,,,,,,,,,,,,,,,,
25493,臺華共同詞,水域,tsuí-hi̍k,空間方位,25493(1),"[{""漢字"": ""水域"", ""羅馬字"": ""tsuí-i̍k""}]",,,,,,,,,,,,,,,,,,
25494,臺華共同詞,水費,tsuí-huì,錢財資產,25494(1),,,,,,,,,,,,,,,,,,,
25495,臺華共同詞,片商,phìnn-siong,相關用語,25495(1),,,,,,,,,,,,,,,,,,,
25496,臺華共同詞,牛車,gû-tshia,"農林業,旅運設施",25496(1),,,,,,,,,,,,,,,,,,,
25497,臺華共同詞,牛排,gû-pâi,食物、飲料、煙酒,25497(1),,,,,,,,,,,,,,,,,,,
25498,臺華共同詞,王牌,ông-pâi,性質、程度,25498(1),,,,,,,,,,,,,,,,,,,
25499,臺華共同詞,主將,tsú-tsiòng,地位、身世、背景,25499(1),,,,,,,,,,,,,,,,,,,
25500,臺華共同詞,主菜,tsú-tshài,食物、飲料、煙酒,25500(1),,,,,,,,,,,,,,,,,,,
25501,臺華共同詞,主編,tsú-pian,文學、藝術,25501(1),,,,,,,,,,,,,,,,,,,
25502,臺華共同詞,付款,hù-khuán,"相關用語,財務單位、活動",25502(1),,,,,,,,,,,,,,,,,,,
25503,臺華共同詞,代名詞,tāi-bîng-sû,語言、文字、符號,25503(1),,,,,,,,,,,,,,,,,,,
25504,臺華共同詞,代步,tāi-pōo,交通、運輸,25504(1),,,,,,,,,,,,,,,,,,,
25505,臺華共同詞,代勞,tāi-lô,生活勞動,25505(1),,,,,,,,,,,,,,,,,,,
25506,臺華共同詞,代銷,tāi-siau,相關用語,25506(1),,,,,,,,,,,,,,,,,,,
25507,臺華共同詞,出刊,tshut-khan,文學、藝術,25507(1),,,,,,,,,,,,,,,,,,,
25508,臺華共同詞,出品,tshut-phín,相關用語,25508(1),,,,,,,,,,,,,,,,,,,
25509,臺華共同詞,出風口,tshut-hong-kháu,建築物、結構,25509(1),,,,,,,,,,,,,,,,,,,
25510,臺華共同詞,出海,tshut-hái,漁牧業,25510(1),,,,,,,,,,,,,,,,,,,
25511,臺華共同詞,加護,ka-hōo,醫療保健,25511(1),,,,,,,,,,,,,,,,,,,
25512,臺華共同詞,功用,kong-iōng,事、物泛稱,25512(1),,,,,,,,,,,,,,,,,,,
25513,臺華共同詞,功臣,kong-sîn,相關用語,25513(1),,,,,,,,,,,,,,,,,,,
25514,臺華共同詞,功利,kong-lī,相關用語,25514(1),,,,,,,,,,,,,,,,,,,
25515,臺華共同詞,包涵,pau-hâm,個性風格,25515(1),,,,,,,,,,,,,,,,,,,
25516,臺華共同詞,北二高,Pak-jī-ko/Pak-lī-ko,道路、橋梁,25516(1),,,,,,,,,,,,,,,,,,,
25517,臺華共同詞,北美洲,Pak-bí-tsiu,"地理,空間方位",25517(1),,,,,,,,,,,,,,,,,,,
25518,臺華共同詞,北美館,Pak-bí-kuán,組織團體,25518(1),,,,,,,,,,,,,,,,,,,
25519,臺華共同詞,半徑,puànn-kìng,數詞、量詞,25519(1),,,,,,,,,,,,,,,,,,,
25520,臺華共同詞,司長,su-tiúnn,稱謂輩分,25520(1),,,,,,,,,,,,,,,,,,,
25521,臺華共同詞,台長,tâi-tiúnn,稱謂輩分,25521(1),,,,,,,,,,,,,,,,,,,
25522,臺華共同詞,台詞,tâi-sû,戲劇、音樂,25522(1),,,,,,,,,,,,,,,,,,,
25523,臺華共同詞,外移,guā-î,一般動詞-靜態動詞,25523(1),,,,,,,,,,,,,,,,,,,
25524,臺華共同詞,外部,guā-pōo,性質、程度,25524(1),,,,,,,,,,,,,,,,,,,
25525,臺華共同詞,外貌,guā-māu,體態樣貌,25525(1),,,,,,,,,,,,,,,,,,,
25526,臺華共同詞,失意,sit-ì,反應、表情,25526(1),,,,,,,,,,,,,,,,,,,
25527,臺華共同詞,奶茶,ling-tê/ni-tê,食物、飲料、煙酒,25527(1),"[{""漢字"": ""奶茶"", ""羅馬字"": ""lin-tê""}]",,,,,,,,,,,,,,,,,,
25528,臺華共同詞,平手,pênn-tshiú/pînn-tshiú,"性質、程度,一般動詞-行為動詞",25528(1),,,,,,,,,,,,,,,,,,,
25529,臺華共同詞,平直,pênn-ti̍t/pînn-ti̍t,形貌、體積,25529(1),,,,,,,,,,,,,,,,,,,
25530,臺華共同詞,本業,pún-gia̍p,相關用語,25530(1),,,,,,,,,,,,,,,,,,,
25531,臺華共同詞,本體,pún-thé,性質、程度,25531(1),,,,,,,,,,,,,,,,,,,
25532,臺華共同詞,未知,bī-ti,性質、程度,25532(1),,,,,,,,,,,,,,,,,,,
25533,臺華共同詞,正宗,tsiànn-tsong,性質、程度,25533(1),,,,,,,,,,,,,,,,,,,
25534,臺華共同詞,母語,bú-gí/bú-gú,語言、文字、符號,25534(1),"[{""漢字"": ""母語"", ""羅馬字"": ""bó-gí/bó-gú""}]",,,,,,,,,,,,,,,,,,
25535,臺華共同詞,永久,íng-kiú,"性質、程度,副詞",25535(1),,,,,,,,,,,,,,,,,,,
25536,臺華共同詞,永續,íng-sio̍k,性質、程度,25536(1),,,,,,,,,,,,,,,,,,,
25537,臺華共同詞,犯規,huān-kui,境況、狀態-擬人,25537(1),,,,,,,,,,,,,,,,,,,
25538,臺華共同詞,生力軍,sing-li̍k-kun,相關用語,25538(1),,,,,,,,,,,,,,,,,,,
25539,臺華共同詞,生計,sing-kè,生活狀況,25539(1),,,,,,,,,,,,,,,,,,,
25540,臺華共同詞,申辦,sin-pān,一般動詞-行為動詞,25540(1),,,,,,,,,,,,,,,,,,,
25541,臺華共同詞,白金,pe̍h-kim,錢財資產,25541(1),,,,,,,,,,,,,,,,,,,
25542,臺華共同詞,交付,kau-hù,一般動詞-行為動詞,25542(1),,,,,,,,,,,,,,,,,,,
25543,臺華共同詞,交保,kau-pó,法律,25543(1),,,,,,,,,,,,,,,,,,,
25544,臺華共同詞,交會,kau-huē,一般動詞-靜態動詞,25544(1),,,,,,,,,,,,,,,,,,,
25545,臺華共同詞,交響樂,kau-hióng-ga̍k,戲劇、音樂,25545(1),"[{""漢字"": ""交響樂"", ""羅馬字"": ""kau-hiáng-ga̍k""}]",,,,,,,,,,,,,,,,,,
25546,臺華共同詞,休館,hiu-kuán,相關用語,25546(1),,,,,,,,,,,,,,,,,,,
25547,臺華共同詞,份子,hūn-tsú,相關用語,25547(1),,,,,,,,,,,,,,,,,,,
25548,臺華共同詞,光彩,kong-tshái,心理狀態,25548(1),,,,,,,,,,,,,,,,,,,
25549,臺華共同詞,全程,tsuân-tîng,性質、程度,25549(1),"[{""漢字"": ""全程"", ""羅馬字"": ""tsuân-thîng""}]",,,,,,,,,,,,,,,,,,
25550,臺華共同詞,共犯,kiōng-huān,法律,25550(1),,,,,,,,,,,,,,,,,,,
25551,臺華共同詞,再造,tsài-tsō,性質、程度,25551(1),,,,,,,,,,,,,,,,,,,
25552,臺華共同詞,刑期,hîng-kî,時間節令,25552(1),,,,,,,,,,,,,,,,,,,
25553,臺華共同詞,危害,guî-hāi,災禍,25553(1),,,,,,,,,,,,,,,,,,,
25554,臺華共同詞,同樂,tông-lo̍k,休閒、娛樂,25554(1),,,,,,,,,,,,,,,,,,,
25555,臺華共同詞,名號,miâ-hō,相關用語,25555(1),,,,,,,,,,,,,,,,,,,
25556,臺華共同詞,回報,huê-pò/hê-pò,待人處事,25556(1),,,,,,,,,,,,,,,,,,,
25557,臺華共同詞,地名,tē-miâ/tuē-miâ,"地理,空間方位",25557(1),,,,,,,,,,,,,,,,,,,
25558,臺華共同詞,地雷,tē-luî/tuē-luî,"災禍,軍事",25558(1),,,,,,,,,,,,,,,,,,,
25559,臺華共同詞,好用,hó-īng,性質、程度,25559(1),"[{""漢字"": ""好用"", ""羅馬字"": ""hó-iōng""}]",,,,,,,,,,,,,,,,,,
25560,臺華共同詞,好事,hó-sū,境況、狀態-擬事,25560(1),,,,,,,,,,,,,,,,,,,
25561,臺華共同詞,字幕,jī-bōo/lī-bōo,生活用品,25561(1),,,,,,,,,,,,,,,,,,,
25562,臺華共同詞,存戶,tsûn-hōo,財務單位、活動,25562(1),,,,,,,,,,,,,,,,,,,
25563,臺華共同詞,守衛,siú-uē,一般動詞-行為動詞,25563(1),"[{""漢字"": ""守衛"", ""羅馬字"": ""siú-uī""}]",,,,,,,,,,,,,,,,,,
25564,臺華共同詞,有志,iú-tsì,個性風格,25564(1),,,,,,,,,,,,,,,,,,,
25565,臺華共同詞,次序,tshù-sū,事、物泛稱,25565(1),,,,,,,,,,,,,,,,,,,
25566,臺華共同詞,死去,sí--khì,生養老死,25566(1),,,,,,,,,,,,,,,,,,,
25567,臺華共同詞,死角,sí-kak,建築物、結構,25567(1),,,,,,,,,,,,,,,,,,,
25568,臺華共同詞,羽毛,ú-môo,動物形體、行為,25568(1),,,,,,,,,,,,,,,,,,,
25569,臺華共同詞,老兵,lāu-ping,軍公教業,25569(1),,,,,,,,,,,,,,,,,,,
25570,臺華共同詞,考場,khó-tiûnn,教育、學術,25570(1),,,,,,,,,,,,,,,,,,,
25571,臺華共同詞,考證,khó-tsìng,生活勞動,25571(1),,,,,,,,,,,,,,,,,,,
25572,臺華共同詞,耳機,hīnn-ki,生活用品,25572(1),,,,,,,,,,,,,,,,,,,
25573,臺華共同詞,血跡,hueh-jiah/huih-liah,醫療保健,25573(1),,,,,,,,,,,,,,,,,,,
25574,臺華共同詞,西南,se-lâm,空間方位,25574(1),,,,,,,,,,,,,,,,,,,
25575,臺華共同詞,估算,kóo-sǹg,一般動詞-行為動詞,25575(1),,,,,,,,,,,,,,,,,,,
25576,臺華共同詞,免疫力,bián-i̍k-li̍k,傷疾病痛,25576(1),,,,,,,,,,,,,,,,,,,
25577,臺華共同詞,即刻,tsik-khik,"時間節令,副詞",25577(1),,,,,,,,,,,,,,,,,,,
25578,臺華共同詞,否決,hónn-kuat,一般動詞-行為動詞,25578(1),"[{""漢字"": ""否決"", ""羅馬字"": ""hóo-kuat""}]",,,,,,,,,,,,,,,,,,
25579,臺華共同詞,吧台,pa-tâi,"相關用語,建築物、結構",25579(1),,,,,,,,,,,,,,,,,,,
25580,臺華共同詞,壯大,tsòng-tāi,性質、程度,25580(1),,,,,,,,,,,,,,,,,,,
25581,臺華共同詞,妙方,miāu-hng,事、物泛稱,25581(1),"[{""漢字"": ""妙方"", ""羅馬字"": ""biāu-hng""}]",,,,,,,,,,,,,,,,,,
25582,臺華共同詞,完備,uân-pī,性質、程度,25582(1),,,,,,,,,,,,,,,,,,,
25583,臺華共同詞,局限,kio̍k-hān,性質、程度,25583(1),,,,,,,,,,,,,,,,,,,
25584,臺華共同詞,床頭,tshn̂g-thâu,空間方位,25584(1),,,,,,,,,,,,,,,,,,,
25585,臺華共同詞,快感,khuài-kám,境況、狀態-擬人,25585(1),,,,,,,,,,,,,,,,,,,
25586,臺華共同詞,戒備,kài-pī,一般動詞-行為動詞,25586(1),,,,,,,,,,,,,,,,,,,
25587,臺華共同詞,抗藥性,khòng-io̍h-sìng,醫療保健,25587(1),,,,,,,,,,,,,,,,,,,
25588,臺華共同詞,折磨,tsiat-buâ,生活狀況,25588(1),,,,,,,,,,,,,,,,,,,
25589,臺華共同詞,投案,tâu-àn,法律,25589(1),,,,,,,,,,,,,,,,,,,
25590,臺華共同詞,更正,king-tsìng,一般動詞-靜態動詞,25590(1),,,,,,,,,,,,,,,,,,,
25591,臺華共同詞,決標,kuat-pio,相關用語,25591(1),,,,,,,,,,,,,,,,,,,
25592,臺華共同詞,決賽,kuat-sài,體育、運動,25592(1),,,,,,,,,,,,,,,,,,,
25593,臺華共同詞,秀麗,siù-lē,體態樣貌,25593(1),,,,,,,,,,,,,,,,,,,
25594,臺華共同詞,系所,hē-sóo,教育、學術,25594(1),,,,,,,,,,,,,,,,,,,
25595,臺華共同詞,肝病,kuann-pēnn/kuann-pīnn,傷疾病痛,25595(1),,,,,,,,,,,,,,,,,,,
25596,臺華共同詞,良知,liông-ti,道德評價,25596(1),,,,,,,,,,,,,,,,,,,
25597,臺華共同詞,見識,kiàn-sik,才智能力,25597(1),,,,,,,,,,,,,,,,,,,
25598,臺華共同詞,見證,kiàn-tsìng,一般動詞-行為動詞,25598(1),,,,,,,,,,,,,,,,,,,
25599,臺華共同詞,身段,sin-tuānn,才智能力,25599(1),,,,,,,,,,,,,,,,,,,
25600,臺華共同詞,車行,tshia-hâng,組織團體,25600(1),,,,,,,,,,,,,,,,,,,
25601,臺華共同詞,車種,tshia-tsióng,旅運設施,25601(1),,,,,,,,,,,,,,,,,,,
25602,臺華共同詞,巡航,sûn-hâng,旅運設施,25602(1),,,,,,,,,,,,,,,,,,,
25603,臺華共同詞,邦交,pang-kau,交際應酬,25603(1),,,,,,,,,,,,,,,,,,,
25604,臺華共同詞,里長,lí-tiúnn,相關用語,25604(1),,,,,,,,,,,,,,,,,,,
25605,臺華共同詞,防治,hông-tī,生活勞動,25605(1),,,,,,,,,,,,,,,,,,,
25606,臺華共同詞,防空,hông-khong,生活狀況,25606(1),,,,,,,,,,,,,,,,,,,
25607,臺華共同詞,防疫,hông-i̍k,醫療保健,25607(1),,,,,,,,,,,,,,,,,,,
25608,臺華共同詞,防盜,hông-tō,生活狀況,25608(1),,,,,,,,,,,,,,,,,,,
25609,臺華共同詞,亞軍,a-kun,"地位、身世、背景,才智能力",25609(1),,,,,,,,,,,,,,,,,,,
25610,臺華共同詞,刻薄,khik-po̍k,"個性風格,氣質態度,待人處事",25610(1),,,,,,,,,,,,,,,,,,,
25611,臺華共同詞,制裁,tsè-tshâi,政治,25611(1),,,,,,,,,,,,,,,,,,,
25612,臺華共同詞,協理,hia̍p-lí,相關用語,25612(1),,,,,,,,,,,,,,,,,,,
25613,臺華共同詞,卸任,sià-jīm/sià-līm,一般動詞-行為動詞,25613(1),,,,,,,,,,,,,,,,,,,
25614,臺華共同詞,受難,siū-lān,"生活狀況,災禍",25614(1),,,,,,,,,,,,,,,,,,,
25615,臺華共同詞,周刊,tsiu-khan,休閒、娛樂,25615(1),,,,,,,,,,,,,,,,,,,
25616,臺華共同詞,奔走,phun-tsáu,"生活狀況,待人處事",25616(1),"[{""漢字"": ""奔走"", ""羅馬字"": ""pun-tsáu""}]",,,,,,,,,,,,,,,,,,
25617,臺華共同詞,定論,tīng-lūn,事、物泛稱,25617(1),,,,,,,,,,,,,,,,,,,
25618,臺華共同詞,屈服,khut-ho̍k,生活狀況,25618(1),,,,,,,,,,,,,,,,,,,
25619,臺華共同詞,岩石,gâm-tsio̍h,自然現象,25619(1),"[{""漢字"": ""岩石"", ""羅馬字"": ""giâm-tsio̍h""}]",,,,,,,,,,,,,,,,,,
25620,臺華共同詞,底薪,té-sin/tué-sin,"相關用語,錢財資產",25620(1),,,,,,,,,,,,,,,,,,,
25621,臺華共同詞,怪罪,kuài-tsuē,"心理活動,待人處事",25621(1),,,,,,,,,,,,,,,,,,,
25622,臺華共同詞,承包,sîng-pau,相關用語,25622(1),,,,,,,,,,,,,,,,,,,
25623,臺華共同詞,抵制,tí-tsè,一般動詞-行為動詞,25623(1),,,,,,,,,,,,,,,,,,,
25624,臺華共同詞,林務局,Lîm-bū-kio̍k,組織團體,25624(1),,,,,,,,,,,,,,,,,,,
25625,臺華共同詞,武術,bú-su̍t,體育、運動,25625(1),,,,,,,,,,,,,,,,,,,
25626,臺華共同詞,法會,huat-huē,相關器具、活動,25626(1),,,,,,,,,,,,,,,,,,,
25627,臺華共同詞,油漆,iû-tshat,生活用品,25627(1),,,,,,,,,,,,,,,,,,,
25628,臺華共同詞,沿線,iân-suànn,交通、運輸,25628(1),,,,,,,,,,,,,,,,,,,
25629,臺華共同詞,盲點,bông-tiám,性質、程度,25629(1),,,,,,,,,,,,,,,,,,,
25630,臺華共同詞,社教,siā-kàu,教育、學術,25630(1),,,,,,,,,,,,,,,,,,,
25631,臺華共同詞,空位,khang-uī,空間方位,25631(1),,,,,,,,,,,,,,,,,,,
25632,臺華共同詞,芹菜,khîn-tshài/khûn-tshài,蔬果作物,25632(1),,,,,,,,,,,,,,,,,,,
25633,臺華共同詞,花花公子,hua-hua-kong-tsú,相關用語,25633(1),,,,,,,,,,,,,,,,,,,
25634,臺華共同詞,初學者,tshoo-ha̍k-tsiá,相關用語,25634(1),,,,,,,,,,,,,,,,,,,
25635,臺華共同詞,表明,piáu-bîng,氣質態度,25635(1),,,,,,,,,,,,,,,,,,,
25636,臺華共同詞,金字塔,kim-jī-thah/kim-lī-thah,建築物、結構,25636(1),,,,,,,,,,,,,,,,,,,
25637,臺華共同詞,長年,tn̂g-nî,時間節令,25637(1),,,,,,,,,,,,,,,,,,,
25638,臺華共同詞,長褲,tn̂g-khòo,衣帽鞋襪,25638(1),,,,,,,,,,,,,,,,,,,
25639,臺華共同詞,阻隔,tsóo-keh,生活勞動,25639(1),,,,,,,,,,,,,,,,,,,
25640,臺華共同詞,青天,tshing-thian,自然現象,25640(1),,,,,,,,,,,,,,,,,,,
25641,臺華共同詞,信義,sìn-gī,事、物泛稱,25641(1),,,,,,,,,,,,,,,,,,,
25642,臺華共同詞,侵害,tshim-hāi,待人處事,25642(1),,,,,,,,,,,,,,,,,,,
25643,臺華共同詞,保固,pó-kòo,相關用語,25643(1),,,,,,,,,,,,,,,,,,,
25644,臺華共同詞,前任,tsîng-jīm/tsîng-līm,地位、身世、背景,25644(1),,,,,,,,,,,,,,,,,,,
25645,臺華共同詞,前言,tsiân-giân,語言、文字、符號,25645(1),,,,,,,,,,,,,,,,,,,
25646,臺華共同詞,前鋒,tsiân-hong,相關用語,25646(1),,,,,,,,,,,,,,,,,,,
25647,臺華共同詞,厚度,kāu-tōo,性質、程度,25647(1),,,,,,,,,,,,,,,,,,,
25648,臺華共同詞,叛亂,puān-luān,"政治,軍事",25648(1),,,,,,,,,,,,,,,,,,,
25649,臺華共同詞,哀傷,ai-siong,"反應、表情,婚喪喜慶",25649(1),,,,,,,,,,,,,,,,,,,
25650,臺華共同詞,威權,ui-khuân,政治,25650(1),"[{""漢字"": ""威權"", ""羅馬字"": ""ui-kuân""}]",,,,,,,,,,,,,,,,,,
25651,臺華共同詞,室內,sik-lāi,空間方位,25651(1),,,,,,,,,,,,,,,,,,,
25652,臺華共同詞,室溫,sik-un,氣候溫度,25652(1),,,,,,,,,,,,,,,,,,,
25653,臺華共同詞,客房,kheh-pâng,建築物、結構,25653(1),,,,,,,,,,,,,,,,,,,
25654,臺華共同詞,客源,kheh-guân,相關用語,25654(1),,,,,,,,,,,,,,,,,,,
25655,臺華共同詞,封殺,hong-sat,性質、程度,25655(1),,,,,,,,,,,,,,,,,,,
25656,臺華共同詞,封鎖,hong-só,一般動詞-行為動詞,25656(1),,,,,,,,,,,,,,,,,,,
25657,臺華共同詞,建構,kiàn-kòo,事、物泛稱,25657(1),,,,,,,,,,,,,,,,,,,
25658,臺華共同詞,急診,kip-tsín,醫療保健,25658(1),,,,,,,,,,,,,,,,,,,
25659,臺華共同詞,怨言,uàn-giân,待人處事,25659(1),,,,,,,,,,,,,,,,,,,
25660,臺華共同詞,政壇,tsìng-tuânn,政治,25660(1),,,,,,,,,,,,,,,,,,,
25661,臺華共同詞,流汗,lâu-kuānn,生活用品,25661(1),,,,,,,,,,,,,,,,,,,
25662,臺華共同詞,流動性,liû-tōng-sìng,性質、程度,25662(1),,,,,,,,,,,,,,,,,,,
25663,臺華共同詞,流轉,liû-tsuán,一般動詞-活動動詞,25663(1),,,,,,,,,,,,,,,,,,,
25664,臺華共同詞,洗牌,sé-pâi/sué-pâi,休閒、娛樂,25664(1),,,,,,,,,,,,,,,,,,,
25665,臺華共同詞,洗禮,sé-lé/sué-lé,一般動詞-靜態動詞,25665(1),,,,,,,,,,,,,,,,,,,
25666,臺華共同詞,界定,kài-tīng,一般動詞-靜態動詞,25666(1),,,,,,,,,,,,,,,,,,,
25667,臺華共同詞,界線,kài-suànn,事、物泛稱,25667(1),,,,,,,,,,,,,,,,,,,
25668,臺華共同詞,盆栽,phûn-tsai,生活用品,25668(1),,,,,,,,,,,,,,,,,,,
25669,臺華共同詞,研讀,gián-tho̍k,一般動詞-行為動詞,25669(1),,,,,,,,,,,,,,,,,,,
25670,臺華共同詞,紅豆,âng-tāu,食物、飲料、煙酒,25670(1),,,,,,,,,,,,,,,,,,,
25671,臺華共同詞,美洲,Bí-tsiu,"地理,空間方位",25671(1),,,,,,,,,,,,,,,,,,,
25672,臺華共同詞,美籍,Bí-tsi̍k,地位、身世、背景,25672(1),,,,,,,,,,,,,,,,,,,
25673,臺華共同詞,致辭,tì-sû,一般動詞-行為動詞,25673(1),,,,,,,,,,,,,,,,,,,
25674,臺華共同詞,苦悶,khóo-būn,"心理狀態,生活狀況",25674(1),,,,,,,,,,,,,,,,,,,
25675,臺華共同詞,訂戶,tīng-hōo,相關用語,25675(1),,,,,,,,,,,,,,,,,,,
25676,臺華共同詞,軍用,kun-iōng,"軍公教業,軍事",25676(1),,,,,,,,,,,,,,,,,,,
25677,臺華共同詞,軍備,kun-pī,"軍公教業,軍事",25677(1),,,,,,,,,,,,,,,,,,,
25678,臺華共同詞,迫切,pik-tshiat,性質、程度,25678(1),,,,,,,,,,,,,,,,,,,
25679,臺華共同詞,重現,tiông-hiān,心理狀態,25679(1),,,,,,,,,,,,,,,,,,,
25680,臺華共同詞,重劃區,tiông-ue̍h-khu,"空間方位,居住環境",25680(1),,,,,,,,,,,,,,,,,,,
25681,臺華共同詞,風塵,hong-tîn,地位、身世、背景,25681(1),,,,,,,,,,,,,,,,,,,
25682,臺華共同詞,首席,siú-si̍k,地位、身世、背景,25682(1),,,,,,,,,,,,,,,,,,,
25683,臺華共同詞,首都,siú-too,"空間方位,居住環境",25683(1),,,,,,,,,,,,,,,,,,,
25684,臺華共同詞,冥想,bîng-sióng,心理活動,25684(1),,,,,,,,,,,,,,,,,,,
25685,臺華共同詞,原味,guân-bī,食物、飲料、煙酒,25685(1),,,,,,,,,,,,,,,,,,,
25686,臺華共同詞,原動力,guân-tōng-li̍k,生活狀況,25686(1),,,,,,,,,,,,,,,,,,,
25687,臺華共同詞,原意,guân-ì,事、物泛稱,25687(1),,,,,,,,,,,,,,,,,,,
25688,臺華共同詞,唐詩,Tông-si,文學、藝術,25688(1),,,,,,,,,,,,,,,,,,,
25689,臺華共同詞,家園,ka-hn̂g,居住環境,25689(1),,,,,,,,,,,,,,,,,,,
25690,臺華共同詞,座談,tsō-tâm,一般動詞-行為動詞,25690(1),,,,,,,,,,,,,,,,,,,
25691,臺華共同詞,旁觀,pông-kuan,反應、表情,25691(1),,,,,,,,,,,,,,,,,,,
25692,臺華共同詞,校慶,hāu-khìng,教育、學術,25692(1),,,,,,,,,,,,,,,,,,,
25693,臺華共同詞,核定,hi̍k-tīng,一般動詞-靜態動詞,25693(1),,,,,,,,,,,,,,,,,,,
25694,臺華共同詞,氣流,khì-liû,自然現象,25694(1),,,,,,,,,,,,,,,,,,,
25695,臺華共同詞,消防,siau-hông,"相關用語,生活勞動",25695(1),,,,,,,,,,,,,,,,,,,
25696,臺華共同詞,涉案,sia̍p-àn,法律,25696(1),,,,,,,,,,,,,,,,,,,
25697,臺華共同詞,特約,ti̍k-iok,相關用語,25697(1),,,,,,,,,,,,,,,,,,,
25698,臺華共同詞,病毒,pēnn-to̍k/pīnn-to̍k,醫療保健,25698(1),,,,,,,,,,,,,,,,,,,
25699,臺華共同詞,病理,pēnn-lí/pīnn-lí,醫療保健,25699(1),,,,,,,,,,,,,,,,,,,
25700,臺華共同詞,病態,pēnn-thài/pīnn-thài,傷疾病痛,25700(1),,,,,,,,,,,,,,,,,,,
25701,臺華共同詞,病歷,pēnn-li̍k/pīnn-li̍k,醫療保健,25701(1),,,,,,,,,,,,,,,,,,,
25702,臺華共同詞,真空,tsin-khong,性質、程度,25702(1),,,,,,,,,,,,,,,,,,,
25703,臺華共同詞,破滅,phò-bia̍t,心理活動,25703(1),,,,,,,,,,,,,,,,,,,
25704,臺華共同詞,破解,phò-kái,生活勞動,25704(1),,,,,,,,,,,,,,,,,,,
25705,臺華共同詞,神話,sîn-uē,相關器具、活動,25705(1),,,,,,,,,,,,,,,,,,,
25706,臺華共同詞,租金,tsoo-kim,房屋租賃、搬遷,25706(1),,,,,,,,,,,,,,,,,,,
25707,臺華共同詞,索引,sik-ín,語言、文字、符號,25707(1),,,,,,,,,,,,,,,,,,,
25708,臺華共同詞,純潔,sûn-kiat,性質、程度,25708(1),,,,,,,,,,,,,,,,,,,
25709,臺華共同詞,紙盒,tsuá-a̍p,生活用品,25709(1),,,,,,,,,,,,,,,,,,,
25710,臺華共同詞,缺席,khuat-si̍k,一般動詞-靜態動詞,25710(1),,,,,,,,,,,,,,,,,,,
25711,臺華共同詞,航站,hâng-tsām,旅運設施,25711(1),,,,,,,,,,,,,,,,,,,
25712,臺華共同詞,茶包,tê-pau,食物、飲料、煙酒,25712(1),,,,,,,,,,,,,,,,,,,
25713,臺華共同詞,衰弱,sue-jio̍k/sue-lio̍k,生養老死,25713(1),,,,,,,,,,,,,,,,,,,
25714,臺華共同詞,起先,khí-sing,時間節令,25714(1),,,,,,,,,,,,,,,,,,,
25715,臺華共同詞,起步,khí-pōo,生活狀況,25715(1),,,,,,,,,,,,,,,,,,,
25716,臺華共同詞,送交,sàng-kau,一般動詞-靜態動詞,25716(1),,,,,,,,,,,,,,,,,,,
25717,臺華共同詞,退票,thè-phiò,休閒、娛樂,25717(1),,,,,,,,,,,,,,,,,,,
25718,臺華共同詞,退場,thè-tiûnn,戲劇、音樂,25718(1),,,,,,,,,,,,,,,,,,,
25719,臺華共同詞,追捕,tui-póo,生活勞動,25719(1),,,,,,,,,,,,,,,,,,,
25720,臺華共同詞,追殺,tui-sat,災禍,25720(1),,,,,,,,,,,,,,,,,,,
25721,臺華共同詞,追趕,tui-kuánn,生活勞動,25721(1),,,,,,,,,,,,,,,,,,,
